-0.014,-0.208
-0.106,-2.246
-0.179,-0.299
-0.236,-0.784
-0.27,-1.347
-0.307,-0.899
-0.361,-2.588
-0.473,-0.859
-0.42,-0.372
-0.525,-1.618
-0.505,-2.278
-0.54,-0.647
-0.581,-2.91
-0.674,-1.943
-0.678,-0.867
-0.71,-2.743
-0.675,-3.054
-0.779,0.381
-0.723,-0.667
-0.718,-1.597
-0.731,-1.606
-0.811,0.095
-0.816,-0.537
-0.865,0.4
-0.962,-1.007
-1.009,-1.643
-1.028,-3.028
-1.029,-1.629
-0.978,-0.789
-1.067,-2.857
-1.068,-0.432
-1.051,-1.215
-1.089,-0.026
-1.165,-0.899
-1.152,-2.279
-1.214,-2.297
-1.256,-1.208
-1.226,-2.489
-1.486,-3.491
-1.466,-0.832
-1.608,-0.808
-1.574,-1.582
-1.748,-2.353
-1.805,-1.961
-1.908,-1.879
-2.218,-2.647
-2.206,-2.16
-2.32,-3.048
-2.42,0.122
-2.38,-2.292
-2.385,-3.117
-2.477,-2.67
-2.648,-0.368
-2.789,-1.407
-2.861,-1.22
-2.968,-3.429
-2.962,-0.41
-3.098,-1.133
-3.04,-1.276
-3.118,-0.193
3.065,-0.662
2.998,-2.808
2.993,-2.558
2.927,0.249
2.873,-2.998
2.786,-0.117
2.769,-1.358
2.749,-1.444
2.572,-1.009
2.559,-1.136
2.52,-0.248
2.581,-2.494
2.484,0.38
2.516,-1.596
2.462,0.145
2.408,-0.421
2.402,-2.208
2.388,-0.305
2.344,0.314
2.338,-1.802
2.219,-3.532
2.219,-2.589
2.088,-0.681
2.091,-3.361
2.07,-2.511
2.066,-0.908
1.894,-2.308
1.878,-2.53
1.726,-3.232
1.708,-0.538
1.676,0.083
1.581,-2.014
1.643,0.152
1.638,-0.646
1.565,0.296
1.538,-3.567
1.495,-0.814
1.403,-0.419
1.448,-3.298
1.387,-1.214
1.311,-1.686
1.364,-2.893
1.269,-1.604
1.17,0.051
1.241,-1.086
1.224,-2.768
1.19,-0.823
0.445,-3.459
0.493,-2.255
0.317,-3.189
0.304,-1.441
0.265,0.146
0.259,-1.847
0.081,-1.431
0.143,0.259
-1.021,-3.744
-1.443,-3.936
-2.286,-3.975
2.186,-3.797
2.184,-3.798
1.842,-3.664
0.814,-3.667
0.734,-3.79
0.042,0.762
-0.225,0.61
-0.563,0.7
-1.016,0.777
-1.067,0.736
-1.566,0.748
-2.057,0.424
3.023,0.749
2.882,0.677
2.702,0.568
1.522,0.706
1.086,0.58
0.973,0.681
-1.039,-3.464
-1.497,-3.765
1.477,-3.806
-0.135,-0.94
-0.22,-2.57
-0.106,-2.561
-0.138,-3.13
-0.34,-1.72
-0.531,-1.063
-0.53,-1.343
-0.845,-3.478
-0.861,-3.538
-0.748,-2.564
-0.966,-2.228
-0.899,-2.423
-1.101,-0.7
-1.036,-3.392
-1.1,0.251
-1.125,0.414
-1.276,-3.154
-1.169,-0.901
-1.309,-2.12
-1.563,-3.427
-1.534,-1.673
-1.597,-0.83
-1.526,0.339
-1.819,-3.286
-1.717,-1.895
-1.805,0.029
-1.997,-1.139
-2.05,-3.04
-2.091,-0.406
-2.173,-0.856
-2.5,-2.15
-2.547,-3.22
-2.632,-1.391
-2.653,-0.508
-2.87,-2.084
-2.801,-1.464
-2.877,-2.249
-3.0,-1.165
3.135,-0.938
3.094,-0.073
3.072,-0.604
2.969,-1.966
2.81,-2.381
2.885,-3.576
2.827,-2.233
2.63,0.28
2.541,0.376
2.66,0.118
2.675,0.413
2.531,-0.064
2.616,-1.1
2.592,-0.059
2.499,-2.212
2.354,-2.585
2.39,-0.899
2.388,-1.919
2.241,0.063
2.345,-1.644
2.356,-2.025
2.238,-3.032
2.1,-0.418
2.086,-2.428
2.078,-3.527
2.026,0.41
2.015,-1.976
2.08,-0.597
2.061,-2.35
1.901,-2.324
1.858,-1.439
1.792,-2.059
1.676,-3.496
1.657,-1.745
1.58,-0.879
1.672,0.072
1.664,-1.905
1.525,-2.865
1.535,0.197
1.592,-1.088
1.477,-1.847
1.481,-1.796
1.428,-1.059
1.22,-2.133
1.0,-3.053
0.958,-2.439
0.888,-0.151
1.032,-1.815
0.852,-0.984
0.777,-2.038
0.722,-1.654
0.362,-0.7
0.269,-2.315
0.022,-1.766
0.053,-1.141
0.17,-3.845
-0.499,-3.902
-0.813,-3.764
-0.821,-3.93
-1.596,-3.495
-1.869,-3.697
-1.74,-3.904
-2.055,-3.791
-2.26,-3.739
2.528,-3.686
2.117,-3.877
2.078,-3.941
2.052,-3.657
1.13,-3.752
0.017,0.648
-0.836,0.627
-0.947,0.591
-0.962,0.719
-1.52,0.527
-1.825,0.759
-2.069,0.8
-2.902,0.792
-2.911,0.551
3.049,0.799
2.981,0.661
1.048,0.79
1.017,0.521
0.595,0.374
0.504,0.472
-0.022,-2.965
2.146,-3.397
2.146,-0.92
1.853,-0.098
1.628,-0.544
-0.842,-2.384
-2.347,-0.176
2.991,-0.215
2.619,-2.397
1.709,-0.817
0.582,-1.36
-1.655,-1.505
-2.551,-1.502
1.995,-1.478
1.469,-1.518
-2.936,0.528
-0.037,0.194
-0.092,-2.038
-0.165,-0.091
-0.222,-0.576
-0.256,-1.139
-0.293,-0.691
-0.347,-2.38
-0.459,-0.651
-0.406,-0.164
-0.511,-1.41
-0.491,-2.07
-0.526,-0.439
-0.567,-2.702
-0.66,-1.735
-0.664,-0.659
-0.696,-2.535
-0.661,-2.846
-0.765,0.589
-0.709,-0.459
-0.704,-1.389
-0.717,-1.398
-0.797,0.303
-0.802,-0.329
-0.851,0.608
-0.948,-0.799
-0.995,-1.435
-1.014,-2.82
-1.015,-1.421
-0.964,-0.581
-1.053,-2.649
-1.054,-0.224
-1.037,-1.007
-1.075,0.182
-1.151,-0.691
-1.138,-2.071
-1.2,-2.089
-1.242,-1.0
-1.212,-2.281
-1.472,-3.283
-1.452,-0.624
-1.594,-0.6
-1.56,-1.374
-1.734,-2.145
-1.791,-1.753
-1.894,-1.671
-2.204,-2.439
-2.192,-1.952
-2.306,-2.84
-2.406,0.33
-2.366,-2.084
-2.371,-2.909
-2.463,-2.462
-2.634,-0.16
-2.775,-1.199
-2.847,-1.012
