1.056,-0.453,-3.068,1
0.983,-0.634,-3.06,1
1.231,0.495,-3.011,1
1.146,-1.286,-3.066,-1
1.185,-1.64,-2.992,1
1.051,1.473,-2.987,1
1.105,1.069,-2.99,1
1.373,-1.063,-2.988,1
1.595,-1.308,-2.988,1
2.674,-1.248,-2.969,1
0.989,-1.304,-2.932,1
0.961,0.092,-2.93,1
1.254,0.927,-2.993,-1
1.345,-0.654,-2.928,-1
1.185,0.434,-2.928,-1
1.87,1.316,-2.901,-1
1.297,-1.315,-2.908,-1
2.058,-1.085,-2.837,1
1.48,-1.496,-2.824,1
1.184,0.041,-2.88,-1
0.927,-1.223,-2.832,-1
1.46,0.385,-2.782,-1
1.841,-0.395,-2.774,-1
0.932,0.612,-2.772,-1
2.166,-1.915,-2.716,-1
4.062,-1.435,-2.638,1
2.613,1.161,-2.664,-1
1.254,0.354,-2.604,1
3.298,-1.007,-2.639,-1
1.226,-1.549,-2.591,1
1.344,-0.878,-2.637,-1
1.375,-1.523,-2.634,-1
4.591,-1.397,-2.584,1
1.119,1.243,-2.616,-1
1.211,-1.28,-2.599,-1
1.284,0.497,-2.519,1
1.757,-2.066,-2.515,1
0.996,-0.435,-2.565,-1
1.232,-1.945,-2.553,-1
1.068,-1.736,-2.439,1
1.963,-0.766,-2.408,1
1.786,0.209,-2.43,-1
2.674,-1.894,-2.386,1
2.03,0.315,-2.416,-1
1.145,-1.828,-2.333,1
1.216,-1.877,-2.395,-1
1.275,0.541,-2.253,1
0.996,1.638,-2.322,-1
0.941,-0.963,-2.233,1
1.092,0.932,-2.228,1
2.876,-0.402,-2.214,1
0.934,-0.36,-2.257,-1
2.479,0.936,-2.154,-1
1.058,0.66,-2.069,1
0.981,0.899,-2.14,-1
1.712,1.014,-2.043,1
0.887,1.206,-2.098,-1
1.003,0.019,-2.073,-1
1.054,-0.929,-1.892,-1
0.947,1.444,-1.809,1
1.818,1.07,-1.83,-1
1.435,-0.266,-1.748,1
0.943,0.351,-1.656,-1
1.107,-0.005,-1.553,1
0.979,0.259,-1.505,1
1.021,-0.737,-1.492,1
0.994,0.846,-1.364,1
0.917,0.071,-1.355,1
1.28,0.737,-1.34,1
1.022,-0.072,-1.348,-1
1.756,1.71,-1.266,1
0.988,-0.254,-1.264,-1
1,-0.868,-1.176,1
1.705,1.046,-1.218,-1
1.03,0.711,-1.227,-1
3.487,-0.607,-1.188,-1
1.698,-0.532,-1.145,1
1.248,1.61,-0.968,1
0.947,-1.864,-0.979,-1
1.079,-1.707,-0.887,1
1.145,-1.043,-0.831,1
1.195,0.232,-0.719,1
1.515,0.863,-0.778,-1
1.243,1.877,-0.632,1
1.236,1.072,-0.597,1
1.155,0.004,-0.549,1
1.474,-1.347,-0.541,1
1.086,0.934,-0.524,1
0.895,-1.428,-0.491,1
0.835,-1.887,-0.472,1
0.953,-0.09,-0.455,1
1.956,0.13,-0.459,-1
1.396,0.637,-0.418,-1
1.62,-0.884,-0.409,-1
1.858,0.039,-0.392,-1
1.068,-0.183,-0.309,1
1.824,0.844,-0.347,-1
1.021,-0.258,-0.26,1
1.75,-0.625,-0.27,1
1.89,0.378,-0.279,-1
0.928,-0.604,-0.207,1
0.937,-0.307,-0.266,-1
1.266,-1.783,-0.244,-1
2.642,0.294,-0.189,-1
1.462,0.426,-0.114,1
1.871,-1.848,-0.117,1
1.37,-0.028,-0.095,1
1.115,-1.779,-0.075,1
1.142,1.077,-0.065,1
1.809,-1.511,-0.063,1
1.308,1.44,-0.111,-1
2.687,0.236,-0.054,-1
1.889,1.053,-0.042,-1
0.943,-0.265,0.038,1
1.995,-0.193,0.053,1
1.066,-0.317,0.007,-1
1.568,-0.809,0.08,1
1.445,-0.111,0.032,-1
2.184,-1.724,0.054,-1
1.673,0.319,0.129,1
2.418,-1.973,0.162,1
5.996,0.322,0.147,-1
0.969,1.361,0.236,1
1.159,-0.02,0.171,-1
1.701,-0.599,0.216,-1
1.142,0.452,0.208,-1
0.995,0.326,0.323,1
1.069,0.814,0.264,-1
1.199,0.642,0.27,-1
1.521,-1.798,0.358,1
2.151,-0.528,0.352,1
0.978,0.102,0.31,-1
1.411,-0.986,0.44,-1
0.992,1.679,0.477,-1
