1.471,-1.119,-3.096,1
1.161,1.156,-3.008,-1
0.983,1.248,-2.919,1
1.615,-2.14,-2.921,1
0.969,0.375,-2.859,1
1.963,1.554,-2.923,-1
0.932,-1.044,-2.912,-1
1.202,-1.073,-2.783,1
1.14,1.607,-2.691,-1
1.207,1.431,-2.607,1
1.634,0.117,-2.608,1
1.813,-1.822,-2.433,1
0.973,1.08,-2.398,1
1.072,-1.252,-2.385,1
0.912,0.756,-2.462,-1
1.085,-0.291,-2.371,1
1.775,-1.105,-2.41,-1
1.056,0.967,-2.333,1
1.452,0.376,-2.288,1
2.415,0.671,-2.32,-1
1.097,1.57,-2.301,-1
1.707,0.881,-2.223,-1
0.99,0.934,-2.042,1
1.009,1.717,-2.128,-1
1.369,-0.942,-2.047,1
0.984,-0.518,-2.034,1
2.076,1.443,-2.038,1
2.748,-0.178,-2.001,1
1.574,0.01,-2.031,-1
1.457,-1.928,-1.972,1
1.929,-1.292,-1.956,1
2.108,-0.286,-1.958,1
2.007,-0.333,-1.927,-1
2.023,-1.243,-1.92,-1
1.035,0.63,-1.926,-1
0.887,-0.745,-1.897,-1
1.322,1.588,-1.788,1
5.006,0.047,-1.828,-1
2.034,-1.487,-1.778,1
1.175,-0.706,-1.782,-1
1.037,-1.166,-1.694,1
1.571,-0.981,-1.682,-1
1.105,0.276,-1.557,1
3.149,0.428,-1.505,-1
1.494,0.777,-1.388,1
2.276,-0.465,-1.422,-1
1.67,-0.461,-1.408,-1
1.347,-0.186,-1.414,-1
0.986,0.061,-1.419,-1
2.822,-1.106,-1.157,1
0.995,1.601,-1.106,1
0.934,-1.947,-1.191,-1
1.732,-0.614,-1.109,1
1.075,-0.074,-1.01,1
1.204,-0.337,-1.07,-1
1.52,0.885,-1.061,-1
1.119,0.968,-1,-1
1.518,-0.389,-0.929,1
1.393,-1.171,-0.919,-1
1.556,-0.438,-0.822,1
1.125,-0.278,-0.71,1
1.139,-0.331,-0.745,-1
1.241,-1.187,-0.604,1
